N,P,K,temperature,humidity,ph,durationmonths,rainfall,period,label
32.0,141.0,203.0,21.25941052,92.84416234,5.821347769000000,72,109.065847,fall or spring,apple
13.0,144.0,197.0,22.921570600000000,94.89613443,6.28022267,72,105.694154400000000,fall or spring,apple
25.0,143.0,198.0,22.81212536,91.51861705,6.027314401000000,72,107.855225000,fall or spring,apple
9.0,137.0,200.0,21.12152071,90.687876800000000,5.636687393000000,72,102.801720300000000,fall or spring,apple
6.0,144.0,198.0,21.11478672,90.31528693,5.559363609000000,72,104.508661800000000,fall or spring,apple
37.0,126.0,196.0,23.59997268,90.97597665,5.596449493000000,72,107.172819,fall or spring,apple
2.0,120.0,203.0,23.12652652,94.71203306,5.89349299900000,72,108.621183,fall or spring,apple
11.0,143.0,197.0,22.98458907,93.320448700000000,5.875718516000000,72,122.195248300000000,fall or spring,apple
10.0,141.0,201.0,22.12659387,90.97818277,6.386021424000000,72,104.541227500000000,fall or spring,apple
24.0,142.0,202.0,22.53779727,91.48135786,5.710819862000000,72,101.847476800000000,fall or spring,apple
23.0,138.0,195.0,22.49095104,91.70292746,5.7959857,72,124.391510100000000,fall or spring,apple
18.0,125.0,204.0,22.35548159,94.47811755,6.046673619000000,72,116.736626100000000,fall or spring,apple
13.0,121.0,196.0,22.20700989,93.50574163,6.443382913000000,72,120.159377100000000,fall or spring,apple
26.0,122.0,202.0,22.44516988,94.73763514,5.617227184000000,72,107.184327300000000,fall or spring,apple
28.0,123.0,202.0,22.76643029,92.12438519,6.442289294000000,72,120.435994900000000,fall or spring,apple
26.0,121.0,201.0,22.19109412,90.02575116,6.162034371000000,72,112.312662800000000,fall or spring,apple
21.0,137.0,196.0,23.611920200000000,91.70293849,5.812781806000000,72,123.590082200000000,fall or spring,apple
21.0,135.0,198.0,23.86087054,94.92048112,5.7650151,72,105.024132900000000,fall or spring,apple
5.0,144.0,205.0,21.42177231,92.62665309,6.184922574000000,72,102.804565800000000,fall or spring,apple
2.0,123.0,205.0,22.36629253,90.78572467,5.73965217700000,72,124.983161800000000,fall or spring,apple
15.0,133.0,199.0,23.99686172,91.61001707,5.8247786,72,117.610291500000000,fall or spring,apple
31.0,130.0,198.0,21.80129837,92.73446667,5.55482355700000,72,120.058667,fall or spring,apple
25.0,143.0,200.0,23.80436344,92.80441624,6.024248787000000,72,100.619254300000000,fall or spring,apple
16.0,143.0,204.0,23.71475278,91.53331177,5.63133338700000,72,121.896166500000000,fall or spring,apple
19.0,122.0,202.0,23.34467359,90.37981478,5.811975094000000,72,112.895401600000000,fall or spring,apple
10.0,125.0,196.0,22.31253665,90.03577124,5.730557448000000,72,113.068815500000000,fall or spring,apple
20.0,139.0,202.0,23.50201428,92.21083961,5.66999105,72,107.986894900000000,fall or spring,apple
28.0,123.0,198.0,23.46260321,91.45665004,5.682751473000000,72,111.776339500000000,fall or spring,apple
28.0,136.0,200.0,23.06204373,92.39544055,6.245858905000000,72,114.739910100000000,fall or spring,apple
2.0,131.0,199.0,22.47420512,91.22759742,6.017370134000000,72,124.217969900000000,fall or spring,apple
2.0,140.0,197.0,22.69780133,92.82223419,5.53456749,72,105.050823400000000,fall or spring,apple
27.0,138.0,201.0,23.66682067,93.90191078,5.952367662000000,72,105.400475100000000,fall or spring,apple
30.0,127.0,204.0,22.50050273,92.45878335,6.126436584000000,72,100.934390300000000,fall or spring,apple
32.0,145.0,203.0,23.83053666,90.84422164,6.406818518000000,72,109.596679100000000,fall or spring,apple
29.0,139.0,205.0,23.64142354,93.74461474,6.15593945300000,72,116.691217600000000,fall or spring,apple
26.0,126.0,195.0,21.41363812,92.99124545,5.878568981000000,72,118.397906500000000,fall or spring,apple
40.0,136.0,202.0,22.85267372,94.576458,5.93533630800000,72,117.531403,fall or spring,apple
6.0,124.0,200.0,22.98208095,93.84505029,5.971332179000000,72,109.585225300000000,fall or spring,apple
35.0,138.0,200.0,21.19909519,90.80819418,5.67130617,72,103.683892200000000,fall or spring,apple
17.0,136.0,196.0,23.87192332,90.49939035,5.88215598800000,72,103.054809400000000,fall or spring,apple
33.0,134.0,205.0,21.036527500000000,94.33919546,6.08551916,72,114.741273400000000,fall or spring,apple
16.0,143.0,197.0,22.61711614,93.51978375,5.90402645,72,116.925676600000000,fall or spring,apple
27.0,120.0,200.0,21.45278675,90.74531921,6.1102188,72,116.703658200000000,fall or spring,apple
29.0,145.0,205.0,22.81227579,92.12992101,6.212302608000000,72,109.338355200000000,fall or spring,apple
3.0,141.0,197.0,21.98141856,91.12719303,6.14280339700000,72,115.478914800000000,fall or spring,apple
15.0,123.0,204.0,22.52709326,92.54780429,6.36597268800000,72,115.383006800000000,fall or spring,apple
5.0,136.0,195.0,22.35628673,91.92360477,6.264202804000000,72,107.769741300000000,fall or spring,apple
10.0,136.0,204.0,21.19852186,92.15595143,6.276198595000000,72,105.855435100000000,fall or spring,apple
7.0,141.0,195.0,23.881245800000000,93.45067555,5.514253142000000,72,104.911666300000000,fall or spring,apple
2.0,129.0,201.0,22.78234161,94.36803516,5.682343744000000,72,122.144994900000000,fall or spring,apple
29.0,138.0,197.0,22.19055385,92.43764169,5.83089225200000,72,121.662276100000000,fall or spring,apple
30.0,137.0,200.0,22.91430043,90.70475565,5.60341317200000,72,118.604464500000000,fall or spring,apple
29.0,132.0,204.0,23.08950736,90.22507299,6.096753100000000,72,108.216660100000000,fall or spring,apple
14.0,139.0,197.0,21.72484506,92.83975602,6.056529526000000,72,121.696176100000000,fall or spring,apple
18.0,125.0,203.0,22.44307715,91.59234006,6.160267496000000,72,102.556580700000000,fall or spring,apple
33.0,143.0,204.0,21.131607700000000,91.95769858,5.814434775000000,72,122.539194600000000,fall or spring,apple
40.0,144.0,196.0,22.71750705,92.25479855,5.987262638000000,72,107.028986600000000,fall or spring,apple
9.0,143.0,197.0,23.75033085,92.88160462,5.570020684000000,72,117.660282700000000,fall or spring,apple
38.0,135.0,203.0,23.76121837,93.661643000,5.9655513,72,100.825956000,fall or spring,apple
28.0,130.0,196.0,22.13450646,94.67695747,6.06235646700000,72,112.920322300000000,fall or spring,apple
35.0,142.0,203.0,21.17089176,90.23730166,5.89531900200000,72,123.649514900000000,fall or spring,apple
12.0,129.0,205.0,22.36238282,91.15761594,6.119432215000000,72,118.683273,fall or spring,apple
1.0,135.0,203.0,22.77856513,92.70124029,5.624203283000000,72,113.775921900000000,fall or spring,apple
0.0,145.0,205.0,21.22503442,90.09877774,5.52078314,72,113.976046200000000,fall or spring,apple
31.0,121.0,201.0,23.15791104,90.34396882,5.73153525800000,72,110.712841000,fall or spring,apple
35.0,131.0,203.0,22.42776057,93.91722423,5.893490899000000,72,102.723073900000000,fall or spring,apple
29.0,140.0,195.0,23.64082979,90.95257927,5.560521058000000,72,116.743131900000000,fall or spring,apple
33.0,138.0,198.0,22.29423493,90.69033986,6.22239079800000,72,122.741874400000000,fall or spring,apple
14.0,140.0,197.0,23.35225078,90.90054697,6.071255131000000,72,113.038138200000000,fall or spring,apple
35.0,145.0,195.0,22.03911546,94.58075845,6.231950009000000,72,110.980401400000000,fall or spring,apple
40.0,120.0,197.0,23.80593812,92.48879468,5.889480679000000,72,119.633554800000000,fall or spring,apple
25.0,132.0,198.0,22.31944084,90.85174383,5.732757516000000,72,100.117344300000000,fall or spring,apple
31.0,137.0,196.0,22.14464104,93.82567435,6.40032121200000,72,120.631078400000000,fall or spring,apple
36.0,144.0,196.0,23.65167552,94.50528753,6.496934492000000,72,115.361126800000000,fall or spring,apple
10.0,140.0,197.0,22.16939473,90.27185592,6.229498836000000,72,124.468311200000000,fall or spring,apple
91.0,94.0,46.0,29.36792366,76.24900101,6.149934034000000,12,92.82840911,anytime,banana
105.0,95.0,50.0,27.33368994,83.67675197,5.849076099000000,12,101.049479100000000,anytime,banana
108.0,92.0,53.0,27.40053601,82.96221306,6.276800323000000,12,104.93780,anytime,banana
86.0,76.0,54.0,29.315907500000000,80.11585705,5.926824754000000,12,90.10978128,anytime,banana
80.0,77.0,49.0,26.05433004,79.39654531,5.519088423000000,12,113.229737300000000,anytime,banana
93.0,94.0,53.0,25.86632408,84.42379269,6.07917878800000,12,114.535750300000000,anytime,banana
90.0,92.0,55.0,27.00932084,80.18546798,6.13465588,12,97.32531705,anytime,banana
108.0,89.0,53.0,29.55054817,78.06762846,5.80849760400000,12,99.34482238,anytime,banana
108.0,88.0,55.0,26.28845991,83.390039000,5.891458107000000,12,113.872979800000000,anytime,banana
105.0,77.0,52.0,29.16226551,76.16151562,5.81662247900000,12,100.007567900000000,anytime,banana
118.0,88.0,52.0,28.65003945,82.68752542,5.8431632,12,98.75084366,anytime,banana
101.0,87.0,54.0,29.07311132,76.50045221,6.37675663300000,12,100.169263900000000,anytime,banana
95.0,75.0,50.0,28.08166093,75.26429821,5.62361568700000,12,118.276189400000000,anytime,banana
106.0,85.0,53.0,27.199459700000000,78.808607,5.91505509,12,99.72430835,anytime,banana
86.0,95.0,49.0,28.05484146,78.04602887,6.458714879000000,12,108.395717900000000,anytime,banana
83.0,79.0,55.0,25.14748006,83.34688193,5.565028635000000,12,98.66679427,anytime,banana
85.0,95.0,47.0,25.94019018,78.342209800000000,6.211833161000000,12,119.8480,anytime,banana
109.0,79.0,45.0,27.66752761,79.68542782,6.490074429000000,12,108.6646,anytime,banana
100.0,76.0,45.0,25.56703012,75.94067692,5.590236025000000,12,102.786771700000000,anytime,banana
117.0,86.0,48.0,28.695620100000000,82.54195839,6.22522523900000,12,116.161683900000000,anytime,banana
114.0,94.0,53.0,26.33544853,76.853200600000000,6.19075745900000,12,118.685826300000000,anytime,banana
110.0,78.0,50.0,25.93730186,78.89864446,5.915568968000000,12,98.21747528,anytime,banana
94.0,70.0,48.0,25.13686519,84.88394407,6.195152442000000,12,91.46442491,anytime,banana
80.0,71.0,47.0,27.50527651,80.79783998,6.156373499000000,12,105.077699200000000,anytime,banana
114.0,79.0,51.0,26.21009246,82.34429458,6.313197204000000,12,112.070003300000000,anytime,banana
88.0,78.0,45.0,29.10403455,79.19588629,6.324270089000000,12,92.07835761,anytime,banana
112.0,73.0,48.0,29.24406380000000,77.32017166,5.7074890,12,90.66727868,anytime,banana
117.0,76.0,47.0,25.56202173,77.38229006,6.119216009000000,12,93.10247183,anytime,banana
111.0,87.0,48.0,26.398551500000000,81.36028902,5.571401169000000,12,98.16752001,anytime,banana
89.0,83.0,47.0,28.09577643,77.79586769,5.63127166,12,109.540861400000000,anytime,banana
93.0,91.0,47.0,27.84767901,83.31110751,6.101241579000000,12,117.287891200000000,anytime,banana
92.0,81.0,52.0,27.39341554,81.465483300000000,6.43813727900000,12,94.31102057,anytime,banana
105.0,74.0,45.0,25.14517635,81.38204104,6.098369122000000,12,119.218154000,anytime,banana
102.0,71.0,48.0,28.65456263,79.28693687,5.69526782200000,12,102.463377500000000,anytime,banana
94.0,91.0,51.0,29.16093424,76.67484233,5.6180944,12,109.575944000,anytime,banana
116.0,71.0,47.0,27.57278064,82.063887800000000,6.435785799000000,12,91.34276507,anytime,banana
117.0,79.0,49.0,25.40909896,82.36208097,6.176644228000000,12,112.979480400000000,anytime,banana
119.0,72.0,55.0,25.99069521,83.33983116,6.220643671000000,12,112.077715200000000,anytime,banana
99.0,73.0,53.0,26.29039046,81.06003778,5.8717022,12,118.673036600000000,anytime,banana
91.0,84.0,52.0,29.14827211,78.71024836,6.390741836000000,12,117.536781000,anytime,banana
80.0,90.0,47.0,26.59743595,79.35898915,6.21084479,12,107.394471700000000,anytime,banana
101.0,70.0,48.0,25.36059237,75.03193255,6.012696655000000,12,116.553145500000000,anytime,banana
108.0,89.0,53.0,29.12036889,80.18080728,5.908770059000000,12,112.398205500000000,anytime,banana
100.0,80.0,52.0,27.53911354,77.25629897,6.049801781000000,12,110.326212300000000,anytime,banana
109.0,91.0,53.0,29.66727337,83.51014178,6.01009585300000,12,110.251110200000000,anytime,banana
82.0,78.0,46.0,25.05802193,84.97323747,5.738678895000000,12,110.440880300000000,anytime,banana
106.0,70.0,55.0,25.86824781,78.52399914,5.74055541,12,116.301955500000000,anytime,banana
90.0,86.0,52.0,25.85036988,81.95580471,5.793260262000000,12,119.085617,anytime,banana
83.0,95.0,50.0,26.51682337,77.79913575,5.50947065,12,108.854750800000000,anytime,banana
119.0,90.0,48.0,28.66725136,79.59242542,5.986442306000000,12,118.258344100000000,anytime,banana
107.0,72.0,45.0,28.14938935,81.54448882,5.790768046000000,12,91.40508414,anytime,banana
116.0,81.0,55.0,26.42313317,83.699504,5.915546415000000,12,95.12322062,anytime,banana
101.0,75.0,50.0,26.59386409,81.40740301,6.24252827800000,12,109.982555100000000,anytime,banana
93.0,81.0,50.0,27.71822477,76.57853189,6.0360793,12,102.209983600000000,anytime,banana
95.0,75.0,45.0,28.98333432,82.95958244,5.82989850200000,12,109.022564000,anytime,banana
107.0,71.0,55.0,29.42017919,83.96754496,6.088064451000000,12,117.229079000,anytime,banana
83.0,94.0,47.0,27.39872329,81.10523402,6.469370954000000,12,112.135538400000000,anytime,banana
102.0,73.0,54.0,26.402022700000000,84.41007614,5.720726906000000,12,111.016225900000000,anytime,banana
86.0,79.0,45.0,27.81251452,82.69285419,5.80766417,12,99.20961514,anytime,banana
117.0,86.0,53.0,25.19640218,83.55829874,5.70338172800000,12,115.858608100000000,anytime,banana
111.0,79.0,53.0,28.31193338,75.77363772,6.16500127800000,12,119.695765000,anytime,banana
95.0,74.0,50.0,25.90113128,80.47152737,6.002481605000000,12,110.1032,anytime,banana
91.0,75.0,55.0,27.48612983,76.11239849,6.212369363000000,12,109.276885100000000,anytime,banana
93.0,83.0,46.0,29.38254012,83.50423735,5.765308943000000,12,109.248664700000000,anytime,banana
92.0,85.0,51.0,29.22118628,81.08183635,5.74076468200000,12,108.861647400000000,anytime,banana
104.0,80.0,54.0,27.09062164,81.33506906,5.879119455000000,12,110.133118200000000,anytime,banana
103.0,72.0,51.0,26.12643374,81.81365007,6.099478745000000,12,104.481285800000000,anytime,banana
92.0,75.0,45.0,29.01207743,77.95192527,5.67440335900000,12,90.43495443,anytime,banana
93.0,85.0,49.0,27.96799119,79.28625709,5.694243847000000,12,119.476555700000000,anytime,banana
120.0,87.0,52.0,28.076445500000000,76.05522115,5.905494703000000,12,118.992357,anytime,banana
108.0,72.0,46.0,25.16278237,84.97849241,6.110844721000000,12,90.94554618,anytime,banana
105.0,88.0,54.0,25.78749808,84.51194224,6.020445317000000,12,114.200545500000000,anytime,banana
98.0,79.0,50.0,25.34119774,84.47321314,6.435917308000000,12,91.06493353,anytime,banana
111.0,88.0,55.0,29.44795403,78.34971537,5.50539383300000,12,96.45042585,anytime,banana
97.0,74.0,45.0,26.47522633,78.51833782,5.67771990200000,12,113.116109500000000,anytime,banana
95.0,82.0,48.0,27.39489579,83.31172003,5.719014989000000,12,92.78133617,anytime,banana
89.0,91.0,55.0,25.08347445,80.261731,6.27557229800000,12,94.32961456,anytime,banana
89.0,85.0,55.0,26.67198350000000,76.48541655,6.275384607000000,12,91.73358569,anytime,banana
118.0,88.0,51.0,25.44926208,79.49221962,6.20191164200000,12,100.661917100000000,anytime,banana
101.0,92.0,45.0,28.22776705,80.643038,5.758054257000000,12,98.00403016,anytime,banana
99.0,92.0,47.0,28.12795090000000,77.48247073,6.3239336,12,103.504539500000000,anytime,banana
82.0,77.0,46.0,28.947046700000000,82.188899800000000,5.901100841000000,12,95.83016448,anytime,banana
90.0,86.0,55.0,27.96236771,84.15403614,5.64448658200000,12,97.55986676,anytime,banana
95.0,88.0,52.0,28.00316034,78.90085998,6.23546177200000,12,94.68180316,anytime,banana
104.0,73.0,46.0,29.140091900000000,80.119022800000000,6.28236237,12,90.45142867,anytime,banana
102.0,73.0,52.0,27.912210400000000,83.36307683,6.356090905000000,12,90.24211529,anytime,banana
100.0,74.0,52.0,25.43480512,81.53977797,5.837258235000000,12,96.47800391,anytime,banana
94.0,89.0,48.0,28.55980972,84.51602322,5.653437902000000,12,111.084302900000000,anytime,banana
99.0,70.0,46.0,26.59580783,82.99556744,5.727469947000000,12,100.512334100000000,anytime,banana
112.0,87.0,48.0,27.19711623,77.397063,6.20011106800000,12,99.46950465,anytime,banana
117.0,82.0,45.0,25.29391516,79.29122198,5.614471478000000,12,105.422025100000000,anytime,banana
96.0,86.0,51.0,29.90888522,76.98740841,6.257369799000000,12,91.99964712,anytime,banana
113.0,85.0,45.0,27.94972463,76.63713353,6.037430836000000,12,109.092163100000000,anytime,banana
105.0,93.0,46.0,25.01018457,78.76260938,5.760457558000000,12,108.369051300000000,anytime,banana
85.0,89.0,51.0,29.21144871,84.70189923,6.1581644,12,108.550144300000000,anytime,banana
108.0,94.0,47.0,27.35911627,84.54625006,6.38743138300000,12,90.81250457,anytime,banana
92.0,81.0,52.0,28.010680400000000,76.52808057,5.891413895000000,12,103.704078300000000,anytime,banana
110.0,71.0,54.0,28.67208915,82.20793613,5.725418961000000,12,94.37987496,anytime,banana
82.0,75.0,55.0,27.34585147,78.487384,6.281069505000000,12,92.15524332,anytime,banana
117.0,81.0,53.0,29.50704598,78.20585613,5.50764177800000,12,98.12565829,anytime,banana
56.0,79.0,15.0,29.48439992,63.19915325,7.454532137000000,3,71.89090748,summer,blackgram
25.0,62.0,21.0,26.73433965,68.13999721,7.040056094000000,3,67.15096376,summer,blackgram
42.0,61.0,22.0,26.27274407,62.28814857,7.418650668000000,3,70.23207557,summer,blackgram
42.0,73.0,25.0,34.03679184,67.21113844,6.501869314000000,3,73.23573601,summer,blackgram
44.0,58.0,18.0,28.03644051,65.06601664,6.81441092800000,3,72.49507741,summer,blackgram
50.0,55.0,16.0,28.81460716,65.33538112,7.581442888000000,3,62.26242533,summer,blackgram
35.0,72.0,21.0,34.03619494,64.28791388,7.741418772000000,3,66.85510868,summer,blackgram
30.0,64.0,20.0,33.864293500000000,61.57072498,6.573531614000000,3,68.02199825,summer,blackgram
27.0,64.0,21.0,32.84213012,68.68401492,7.54380422300000,3,73.67166182,summer,blackgram
50.0,74.0,17.0,27.10053268,63.36085585,6.540820800000000,3,73.84949872,summer,blackgram
39.0,73.0,24.0,25.65842532,61.18235808,7.22405917,3,69.28607828,summer,blackgram
57.0,67.0,25.0,32.34744009,66.61452812,7.551364319000000,3,64.55882254,summer,blackgram
52.0,63.0,19.0,29.58949031,68.32176769,6.928898659000000,3,67.53021213,summer,blackgram
55.0,66.0,22.0,30.91219459,68.79427388,7.74777526300000,3,66.63830637,summer,blackgram
51.0,56.0,18.0,28.12787838,64.209776500000000,6.706505915000000,3,70.86340755,summer,blackgram
36.0,66.0,15.0,30.08545364,69.34811988,6.668238556000000,3,67.136744300000000,summer,blackgram
59.0,55.0,19.0,31.74379487,62.51007687,7.332375138000000,3,68.97097538,summer,blackgram
50.0,58.0,23.0,27.81326852,62.50460464,7.596802025000000,3,69.75555541,summer,blackgram
30.0,65.0,25.0,32.88733849,64.59457409,7.70650895,3,71.50569456,summer,blackgram
20.0,62.0,18.0,29.36358721,64.98742947,7.366542647000000,3,61.91208707,summer,blackgram
58.0,71.0,15.0,27.82592799,67.586188,6.919243702000000,3,74.01229707,summer,blackgram
25.0,71.0,24.0,28.49538735,60.44848407,7.18772181800000,3,74.91559514,summer,blackgram
52.0,71.0,16.0,27.74274761,68.53997144,7.0758865,3,71.78615328,summer,blackgram
40.0,63.0,18.0,30.41588462,67.66323804,6.74441168,3,63.02473185,summer,blackgram
20.0,60.0,25.0,27.325420900000000,69.09047809,6.72646908800000,3,61.19250859,summer,blackgram
48.0,61.0,21.0,30.28496619,61.69295127,6.628264883000000,3,65.62859526,summer,blackgram
49.0,68.0,22.0,28.56840626,61.53278622,7.127064207000000,3,63.49726331,summer,blackgram
48.0,62.0,15.0,25.36586097,66.637972400000000,7.53863146200000,3,65.81655892,summer,blackgram
32.0,66.0,17.0,34.946615500000000,65.26774011,7.162357641000000,3,70.141513900000000,summer,blackgram
21.0,63.0,22.0,25.09737391,67.72837887,6.85940948700000,3,74.61649888,summer,blackgram
20.0,72.0,19.0,32.47648301,64.34848735,7.397190844000000,3,65.820457,summer,blackgram
25.0,65.0,21.0,33.86351172,68.59232289,6.880245789000000,3,69.24464096,summer,blackgram
41.0,78.0,21.0,25.19857725,60.37332688,6.581313137000000,3,70.88787207,summer,blackgram
53.0,67.0,17.0,31.77681682,69.01852894,7.296972161000000,3,61.46892873,summer,blackgram
39.0,60.0,21.0,34.89814946,63.59948557,6.97297656,3,64.72797143,summer,blackgram
25.0,76.0,17.0,31.74105409,68.63525428,7.241148507000000,3,62.306173500000000,summer,blackgram
21.0,78.0,19.0,27.16159076,66.76017239,6.92009048,3,69.85112265,summer,blackgram
57.0,60.0,17.0,26.23773129,67.88521396,7.504608385000000,3,73.58663968,summer,blackgram
56.0,75.0,15.0,30.20157245,60.06534859,7.152272256000000,3,66.37171179,summer,blackgram
49.0,72.0,15.0,31.55846339,67.83563765,7.137004749000000,3,74.86960831,summer,blackgram
24.0,80.0,19.0,29.67892453,69.085455400000000,6.8080417,3,65.66436565,summer,blackgram
49.0,76.0,18.0,27.05365239,67.701752700000000,7.393631868000000,3,60.469383500000000,summer,blackgram
28.0,68.0,19.0,34.63880966,61.38597868,7.69950698,3,72.43169115,summer,blackgram
55.0,78.0,21.0,33.39438752,62.93692886,6.60288824900000,3,63.57445989,summer,blackgram
50.0,64.0,25.0,28.84079155,63.37230676,6.734447425000000,3,70.25496749,summer,blackgram
34.0,80.0,19.0,31.49338309,63.056364500000000,6.521217963000000,3,71.48327008,summer,blackgram
20.0,68.0,23.0,25.54960633,63.95425534,7.707332484000000,3,63.183052900000000,summer,blackgram
55.0,67.0,16.0,34.37329112,69.69366426,6.596719015000000,3,70.27184748,summer,blackgram
23.0,70.0,15.0,34.60082470000000,63.11296779,7.403623355000000,3,60.41790253,summer,blackgram
53.0,74.0,15.0,29.43463808,64.94329356,7.517097000,3,72.17818157,summer,blackgram
26.0,67.0,16.0,29.10713092,67.90577375,7.17620823,3,67.83345933,summer,blackgram
33.0,80.0,22.0,28.57006111,65.71765781,6.593961761000000,3,70.086643400000000,summer,blackgram
37.0,79.0,19.0,27.54384835,69.347863100000000,7.143942758000000,3,69.40878198,summer,blackgram
33.0,75.0,21.0,33.04687968,68.93875631,6.690655045000000,3,62.30278274,summer,blackgram
22.0,55.0,20.0,33.95309131,69.96100028,7.423530351000000,3,61.16350463,summer,blackgram
20.0,68.0,17.0,30.11873003,60.11680815,6.57871484300000,3,71.72980375,summer,blackgram
43.0,68.0,20.0,29.57812712,66.17587668,7.497469256000000,3,69.43895491,summer,blackgram
44.0,76.0,22.0,27.26458947,68.01232937,7.77530627200000,3,68.91754359,summer,blackgram
34.0,60.0,16.0,31.35730791,64.24992106,7.32255522300000,3,63.85668948,summer,blackgram
21.0,72.0,17.0,31.52104732,66.55723677,7.580527339000000,3,61.71111448,summer,blackgram
25.0,68.0,19.0,29.39982732,64.25510719,7.1084501,3,67.47677295,summer,blackgram
41.0,62.0,15.0,29.38400259,64.14928485,7.358974541000000,3,65.24194361,summer,blackgram
28.0,65.0,23.0,28.38686534,61.88871127,7.405176138000000,3,74.24459122,summer,blackgram
35.0,64.0,15.0,28.47442276,63.53604453,6.500144962000000,3,69.527440700000000,summer,blackgram
52.0,58.0,16.0,30.64095781,61.14508627,7.167435834000000,3,71.36947525,summer,blackgram
58.0,75.0,25.0,25.25596239,61.36669662,7.261791753000000,3,68.64685069,summer,blackgram
34.0,66.0,19.0,32.97030511,60.18122078,7.586642101000000,3,73.44678678,summer,blackgram
52.0,70.0,16.0,33.66855394,66.60416867,7.53481183300000,3,67.32520551,summer,blackgram
23.0,57.0,19.0,32.83963757,67.99803573,7.251000789000000,3,73.40452716,summer,blackgram
42.0,58.0,25.0,27.45853567,62.90020977,6.51362091800000,3,69.46020927,summer,blackgram
37.0,62.0,17.0,25.68576704,69.84354028,7.121254928000000,3,74.62068748,summer,blackgram
44.0,75.0,22.0,30.032840300000000,64.14800537,7.574561547000000,3,71.21006868,summer,blackgram
21.0,80.0,20.0,28.20667264,68.27085245,7.350869792000000,3,64.32887142,summer,blackgram
56.0,76.0,16.0,28.27265858,61.18956161,7.5131511,3,63.29900785,summer,blackgram
29.0,76.0,15.0,28.54172360000000,64.202015400000000,7.0256077,3,69.68862306,summer,blackgram
43.0,61.0,20.0,26.87187036,61.61367264,6.804253866000000,3,63.51822045,summer,blackgram
55.0,60.0,15.0,32.79766751,68.77994074,7.163043872000000,3,64.11411069,summer,blackgram
44.0,63.0,15.0,26.42333018,64.51136845,7.338929556000000,3,63.46546487,summer,blackgram
29.0,67.0,21.0,29.79181107,63.38789228,6.621323612000000,3,63.02169909,summer,blackgram
47.0,63.0,16.0,27.44003279,67.10464369,6.661870999000000,3,72.50669768,summer,blackgram
40.0,68.0,17.0,34.126297900000000,65.14877461,7.733149554000000,3,70.40795007,summer,blackgram
58.0,61.0,15.0,30.94908189,64.23364112,7.402891666000000,3,62.78730907,summer,blackgram
41.0,74.0,18.0,28.75751783,61.02701476,6.59914729800000,3,73.37686831,summer,blackgram
58.0,79.0,17.0,27.24766491,66.10123083,7.04174124,3,62.31842057,summer,blackgram
27.0,62.0,24.0,28.63005477,66.770943000,7.353876754000000,3,62.273734500000000,summer,blackgram
